language,name,description,category,students,instructor,link
English,Beginner Guide to Learn T-Shirt Design With Photoshop,Photoshop for T-Shirt Design: A Beginner-Friendly Guide to Creating Stunning Designs,Design,Undefined,Learnify IT,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/beginner-guide-to-learn-t-shirt-design-with-photoshop/?couponCode=C2ADD4B75B45E18A1F57
English,The Complete Introduction into Digital Advertising: All in 1,"Google Ads, YouTube Ads, Gmail Ads, Bing Ads, Facebook Ads, Instagram Ads, Messenger Ads, LinkedIn Ads, Retargeting, SEO",Marketing,Undefined,"Ing. Tomas Moravek, Learn Digital Advertising",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/the-complete-introduction-into-digital-advertising/?couponCode=HAPPYWOODDRAGON1
English,How to Make Money Online for Beginners: Follow PROVEN STEPS!,Learn How to Make Money Online Starting without ANY Prior Experience!,Marketing,Undefined,Roope Kiuttu,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/make-money-online-for-beginners/?couponCode=B0B1416621F5ABC65405
English,"Talent Acquisition: HR Planning, Recruiting and Onboarding","Talent Acquisition: Planning workforce, Recruiting and Onboarding, Talent Management, HR Management by MTF Institute",Business,Undefined,"MTF Institute of Management, Technology and Finance",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/talent-acquisition-hr-planning-recruiting-and-onboarding/?couponCode=F39389FF9B53BECFDCC5
English,TikTok Marketing. How to promote your business effectively!,Step-by-step guide for beginners on how to get started on TikTok. Life hacks on how to promote on TikTok successfully!,Marketing,Undefined,"Anton Voroniuk, Daria Salnikova, Anton Voroniuk Support",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/tiktok-marketing-course-for-beginners/?couponCode=TM1902
English,Enhance Lightroom Editing with the Luminar Neo Plugin,Start With Adobe Lightroom Classic Photo Editing and Empower Your First Masterpieces With the Luminar Neo Plugin,Photography & Video,Undefined,"Skylum Academy, Anton Voroniuk",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/enhance-lightroom-editing-with-the-luminar-neo-plugin/?couponCode=EL1902
English,Instagram Marketing. How to Promote Your Business!,"Hands-on guide on how to promote your project on Instagram, create engaging content, increase followers and boost sales!",Marketing,Undefined,"Anton Voroniuk, Vlad Bogutskiy, Anton Voroniuk Support",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/instagram-marketing-practical-course/?couponCode=IM1902
English,MS Word - Microsoft Word Course Beginner to Expert 2024,"Beginner to Expert Level - Fundamentals, Copy Cut, Paste, Font Design, Typography, Cases, Indent, Alignment, Paragraph",IT & Software,Undefined,Stephen Koel Soren,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/ms-word-for-novice/?couponCode=8B321968320453875C7A
English,Unveiling Organizational Behaviour Fundamentals,Fundamentals of Organizational Behaviour,Business,Undefined,Rohit Bansal,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/unveiling-organizational-behaviour-fundamentals/?couponCode=2FBB2B3E9C33C6847E94
English,Complete Search Engine Optimisation (SEO) & ChatGPT Course,"Search Engine Optimisation: SEO, Local SEO, WordPress Website Creation, Content Marketing, ChatGPT, GA4 and Copywriting.",Marketing,Undefined,"Ing. Tomas Moravek, Learn Digital Advertising",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/search-engine-optimization-training-chatgpt-gemini-ai/?couponCode=HAPPYWOODDRAGON1
English,Excellence in Problem Solving and Critical Thinking Skills,"Best of KT courses for developing high performing management teams, leadership team ; Leader Training assignments",Personal Development,Undefined,"Arun Singhal B-Tech, MBA (IIM-B),Unilever, J&J, Danone, IIMU, Cello",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/excellence-in-problem-solving/?couponCode=D92706C41902D9293D66
English,How to make right career choices & choosing one for success,Rational Decision Making Process; Consultancy session for advice with a Ex IIM Counselor & Coach for career development,Personal Development,Undefined,"Arun Singhal B-Tech, MBA (IIM-B),Unilever, J&J, Danone, IIMU, Cello",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/learn-in-69-mins-how-to-make-right-career-choices/?couponCode=74C2E67490BFDF46C57F
English,Fundamentals of Financial Services,Understanding key elements and basic workings of the Financial Services Industry (useful for exams as well),Finance & Accounting,Undefined,"Baba Oyewole, Timothy Oyewole",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/fundamentals-of-financial-services/?couponCode=FUNDAMENTALSFS39
English,Professional Diploma in Advertising & Advertising Management,Professional Diploma in Advertising and Advertising Management by MTF Institute,Marketing,Undefined,"MTF Institute of Management, Technology and Finance",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/professional-diploma-in-advertising-management/?couponCode=2F719B752D29CB709A8D
English,Oracle Primavera P6: Your First Lesson!,Master Primavera P6 Project Scheduling Basic Features! Gain Big Picture and Unlock Commonly used Primavera P6 Functions,Business,Undefined,Basharat Bhatti,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/primavera-p6-training-for-beginners/?couponCode=45644F9A07DFFF9E2909
English,Master in Product & Prototype Design Development Engineering,Industrial Product Design Development Engineering online certificate courses; J&J GE Design Excellence; Design Thinking,Business,Undefined,"Arun Singhal B-Tech, MBA (IIM-B),Unilever, J&J, Danone, IIMU, Cello",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/learn-and-develop-winning-prototypes/?couponCode=B5C218F5AFBFF99318A4
English,"JUnit 5, Mockito, PowerMock, TDD, BDD & ATTD",Learn JUnit 5 (JUpiter) + libraries for unit and integration testing from scratch together with test-driven development,Development,Undefined,"Andrii Piatakha, Learn IT University",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/testing-for-developers/?couponCode=A0681788887AD1F7C549
English,Improving software development productivity,Improving software development productivity. Practical techniques.,IT & Software,Undefined,ANDRII SVIATOBATKO,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/improving-software-development-productivity/?couponCode=5CBD33FF5782BA23859D
English,"Functional Programming + Lambdas, Method References, Streams","Learn amazing features in Java with functional programming, lambda functions, method references and Stream API",Development,Undefined,"Andrii Piatakha, Learn IT University",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/functional-programming-learnit/?couponCode=043F4461C372E5DB4B2C
English,WebServices testing (RestSharp + Postman) Complete Guide,"2 in 1! Learn API testing from zero and build Test Automation with minimum toolset: C#, NUnit, RestSharp, Newtonsoft",Development,Undefined,"Tigran Ter-Karapetyants, Learn IT University",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/webservices-testing-restsharp-postman-complete-guide/?couponCode=91995444C0615B933ACD
English,Drupal For Absolute Beginners (2024),The Most Comprehensive Course To Start Learning Latest And Greatest Drupal From Scratch,Development,Undefined,Shubham Saurav,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/drupal-masterclass/?couponCode=1A5EC1974E11E7E4DA2F
English,Drupal For Beginners - Master Drupal Quickly,Learn Drupal step-by-step to build complex websites. No experience required!,Development,Undefined,Shubham Saurav,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/drupal-for-beginners-course/?couponCode=0B19C6E5744305CAD3A4
English,"Java Collections Framework + Generics, Lambdas & Stream API",Learn Java Collections Framework from scratch to PRO level with practical exercises,Development,Undefined,"Andrii Piatakha, Learn IT University",https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/java-collections-framework-learnit/?couponCode=14EED56ADDA9325F4578
English,Intro to ChatGPT: The Essential Skills for Getting Started,"Master the Art of Writing with ChatGPT AI: Boost Your Blogging, Sales Copy, and More",Office Productivity,Undefined,Yassin Marco,https://click.linksynergy.com/deeplink?id=AVS0Ru3Qe18&mid=47901&murl=https://www.udemy.com/course/intro-to-chatgpt-the-essential-skills-for-getting-started/?couponCode=DB76FFFB067BBACB8882
